Filnavn: kejseren.txt
23 was
23 felt
23 all
22 minute
22 half
22 take
22 getting
22 you're
22 if
22 till
22 added
21 curious
21 words
21 wish
21 find
20 old
20 hand
20 anything
20 no
20 however
20 cried
19 feet
19 tried
19 end
19 please
19 me
19 court
18 turned
18 use
18 wonder
18 house
18 for
18 eat
18 table
18 before
18 something
18 soup
17 mad
17 face
17 even
17 let
17 sort
17 she
17 perhaps
17 talking
17 question
17 up
17 side
17 indeed
17 enough
17 doesn't
17 him
17 asked
17 jury
16 alice's
16 to
16 silence
16 done
16 left
16 air
16 ran
16 idea
16 bit
16 high
16 in
16 sat
16 hastily
16 how
16 called
16 spoke
15 may
15 close
15 whole
15 near
15 saying
15 garden
15 knew
15 gave
15 set
15 of
14 still
14 begin
14 tears
14 hear
14 ought
14 seen
14 saw
14 didn't
14 remember
14 low
14 trying
14 certainly
14 anxiously
14 speak
14 change
14 suppose
14 talk
14 us
14 better
13 hands
13 out
13 pool
13 bill
13 nearly
13 beginning
13 as
13 suddenly
13 yes
13 people
13 cats
13 behind
13 other
13 every
13 really
13 size
13 once
13 grow
13 far
13 a
13 kept
13 sea
13 dodo
13 room
13 gone
13 they're
13 beautiful
13 cook
13 dance
12 there
12 turn
12 chapter
12 sidenote
12 wouldn't
12 many
12 among
12 dinah
12 afraid
12 best
12 game
12 hardly
12 deal
12 give
12 with
12 used
12 we
12 always
12 are
12 did
12 turning
12 arm
12 pigeon
12 baby
12 tea
12 majesty
11 story
11 rest
11 angrily
11 knave
11 over
11 whether
11 hurried
11 though
11 glad
11 ask
11 hurry
11 read
11 finished
11 waited
11 minutes
11 makes
11 growing
11 life
11 thinking
11 try
11 i'd
11 wasn't
11 keep
10 together
10 believe
10 tarts
10 or
10 sitting
10 mind
10 either
10 coming
10 lessons
10 heads
10 word
10 name
10 else
10 matter
10 sight
10 walked
10 small
10 opened
10 bottle
10 children
10 child
10 foot
10 gloves
10 fan
10 queer
10 about
10 you'd
10 creatures
10 explain
10 mean
10 mouth
10 repeated
10 footman
10 remarked
10 remark
10 soldiers
10 witness
9 adventures
9 beg
9 tale
9 dry
9 slowly
9 pig
9 watch
9 which
9 seem
9 couldn't
9 answer
9 hall
9 glass
9 key
9 rate
9 waiting
9 hold
9 leave
9 they
9 help
9 hard
9 everything
9 different
9 tail
9 offended
9 conversation
9 birds
9 party
9 more
9 call
9 shook
9 he
9 reason
9 be
9 shouted
9 timidly
9 serpent
9 puzzled
9 interrupted
9 join
8 wondering
8 drew
8 golden
8 nonsense
8 pepper
8 queen's
8 lobster
8 evidence
8 sister
8 feel
8 making
8 happen
8 noticed
8 opportunity
8 fact
8 followed
8 lying
8 work
8 want
8 ready
8 changed
8 mine
8 five
8 live
8 play
8 hadn't
8 eagerly
8 sit
8 meaning
8 running
8 stood
8 everybody
8 exactly
8 nobody
8 window
8 least
8 place
8 appeared
8 trees
8 mushroom
8 haven't
8 nose
8 asleep
8 hearts
8 twinkle
8 gardeners
8 moral
8 whiting
8 slates
7 wonderland
7 full
7 arms
7 breath
7 fancy
7 subject
7 crowded
7 pack
7 tired
7 book
7 world
7 deep
7 somebody
7 fall
7 top
7 listen
7 it'll
7 manage
7 begun
7 dream
7 middle
7 open
7 larger
7 bright
7 happened
7 neck
7 drink
7 feeling
7 generally
7 eye
7 surprised
7 shoes
7 kind
7 distance
7 sir
7 hair
7 goes
7 she's
7 repeat
7 learn
7 who
7 frightened
7 chin
7 william
7 history
7 fetch
7 lory
7 important
7 continued
7 trial
7 others
7 grown
7 business
7 you've
7 wood
7 isn't
7 draw
7 silent
7 cheshire
7 pleased
7 song
7 hedgehog
7 lobsters
7 soo--oop
6 tis
6 ah
6 sudden
6 new
6 home
6 asking
6 mary
6 ann
6 carried
6 grunted
6 violently
6 players
6 stupid
6 trouble
6 itself
6 late
6 when
6 fell
6 four
6 nice
6 written
6 leaves
6 jumped
6 roof
6 inches
6 marked
6 forgotten
6 almost
6 ten
6 croquet
6 english
6 stop
6 times
6 seven
6 grin
6 understand
6 sentence
6 pardon
6 angry
6 trembling
6 you'll
6 politely
6 melancholy
6 liked
6 chorus
6 executed
6 broken
6 become
6 write
6 loud
6 sharp
6 puppy
6 father
